סמל ועדה,ברזל,שם ישוב,סמל ישוב,קלפי,ריכוז,שופט,בזב,מצביעים,פסולים,כשרים,אמת,ב,ג,ודעם,ז,זץ,ט,י,יז,ינ,יף,יק,יר,כ,כך,כן,ל,מחל,מרצ,נ,ני,נר,עם,פה,ףז,צי,צכ,צף,ץ,ק,קי,קך,קץ,ר,רנ,רף,רק,שס,ת,
1,32,ירושלים,3000,750.5,265,0,542,358,1,357,4,45,6,1,0,0,50,1,4,0,0,0,0,0,0,6,27,120,3,0,0,0,0,25,1,0,0,0,0,0,0,0,0,0,0,0,0,45,19,
1,111,ירושלים,3000,17.1,7,0,479,37,0,37,1,0,26,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,
1,112,ירושלים,3000,17.2,7,0,479,36,2,34,0,0,22,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,
1,118,ירושלים,3000,81.3,21,0,568,184,0,184,4,2,86,2,0,0,16,0,1,0,0,0,0,0,0,0,1,8,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,56,2,
1,119,ירושלים,3000,81.4,21,0,568,137,7,130,1,2,79,0,0,0,5,0,0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,33,1,
1,141,ירושלים,3000,615,41,0,134,7,0,7,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,144,ירושלים,3000,832.2,376,0,393,41,0,41,0,0,33,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1,167,ירושלים,3000,165.2,92,0,575,289,1,288,14,32,79,2,0,0,46,0,1,0,0,0,0,0,0,8,4,39,14,0,0,0,1,11,0,0,0,0,0,0,0,0,0,2,0,0,0,24,11,
1,217,ירושלים,3000,801.2,320,0,487,390,3,387,0,0,188,0,0,0,11,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183,2,
1,232,ירושלים,3000,589.3,123,0,509,366,7,359,0,2,261,0,0,0,17,0,0,0,0,0,0,0,0,0,0,18,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,
